Designator,Mid X,Mid Y,Rotation,Layer
R9,113.0,-65.4,0.0,top
RV1,112.06226,-108.26242,-90.0,top
U1,104.2,-87.0,90.0,top
U2,113.4,-85.2,90.0,top
U3,113.05,-73.4,90.0,top
U31,28.829,-111.887,0.0,top
U32,37.0,-132.5,-90.0,top
U33,73.0,-132.5,-90.0,top
U34,85.09,-127.5,-90.0,top
U35,96.3,-127.5,-90.0,top
U36,26.162,-116.586,90.0,top
U4,113.0,-62.2,-90.0,top
U5,99.7,-63.4,-90.0,top
U51,65.0,-88.1,0.0,top
U52,84.1,-109.9,0.0,top
U53,49.755001,-98.365001,-90.0,top
U54,87.8,-88.8,90.0,top
U6,126.8,-89.2,180.0,top
U7,116.9,-92.9,90.0,top
